studio_name,place_id,city,district,price_min,price_max,bio,styles,avatar_url,rating,user_id
壹刻製爪,ChIJ4VO6Q5xrbzQRPQajR6qDUqg,花蓮縣,Yuli,,,https://lin.ee/6Ndnwad,,,5,b64c1bad-563a-4b4e-9b3f-617468d767da
Chloe studio,ChIJ45_bRTWfaDQREIYx-Wz5UMQ,花蓮縣,Ji’an,,,https://www.instagram.com/chloestudio_hualien/profilecard/?igsh=MzVlZTM4NmV4dWty,,,5,e49d14d3-ade5-4df9-8aff-a2e30c2957bd
初Born Nail Art Design Salon美甲工作室,ChIJ2w-c29KfaDQRwv7NSPgYDC0,花蓮縣,Hualien,,,https://maps.google.com/?cid=3245996886079700674,,,5,54e63268-481b-4e7b-9550-f6973a5bf1e3
膩。美甲沙龍專門 花蓮手足美甲/凝膠/水晶/指甲矯正/延甲,ChIJ42MoznGfaDQRbgeG4kTfutg,花蓮縣,Hualien,,,https://hopestore.com.tw/store/ani-ta-nail/,,,5,47e3a090-5bc0-4761-91d3-ddcf352289af
指色Nail salon美甲美睫,ChIJ4cr2z5DlZzQRUK5USG3XZGs,宜蘭縣,Yilan,,,https://www.facebook.com/fang9096/,,,4.9,dd279b4f-3f33-4173-b6fa-1469995f4680
Irizi愛日子美學,ChIJ6y3ZqJGfaDQRx4BjdUdL9eo,花蓮縣,Ji’an,,,https://instagram.com/irizi_ding_ding?igshid=YmMyMTA2M2Y=,,,5,94bb98f1-4351-459d-98b8-8f277227bdf4
Venus Nail薇娜斯,ChIJ8-B8-KKfaDQR5dR9HmsP010,花蓮縣,Ji’an,,,https://maps.google.com/?cid=6760764418360726757,,,5,376e86e0-ff2b-4e22-b736-30a1fab1d269
WACOW_nail美甲工作室,ChIJ5XZMoOyfaDQRTnjmuRvJOZ0,花蓮縣,Hualien,,,https://maps.google.com/?cid=11329307458547382350,,,4.8,61d35b4a-173d-4541-a556-c8c0052a0d95
愛麗絲美甲,ChIJ13pflLqfaDQRgmZbTQrlbFE,花蓮縣,Hualien,,,https://www.facebook.com/profile.php?id=100094752404013,,,5,aa21764d-fcd4-4a85-ace4-55813145397a
CatLover,ChIJ0bBMe2ufaDQRoGpi0or7FKU,花蓮縣,Hualien,,,https://instagram.com/cat_love_manicure?igshid=rant45ejmbnz,,,5,53e7531d-58d0-4b36-9f60-30f455763bb3
Bellissimo 日式無痛冰肌光除毛 x 半永久紋繡｜凝膠美甲｜皮膚管理｜藻針煥膚｜角蛋白｜男士除毛｜美國FT養色粉嫩技術｜宜蘭羅東冬山,ChIJ0ydvun7nZzQRiArEkdPAj7M,宜蘭縣,Dongshan,,,https://www.facebook.com/2020bellissimo,,,5,fcb6d1c6-6081-42a3-92b0-0fca7eb41678
畫甲 J.NAILS,ChIJ5xVjKkLlZzQRzBF1TGrLCHg,宜蘭縣,Yilan,,,https://maps.google.com/?cid=8649386741774750156,,,4.9,3bd1c122-73d3-4dc3-8873-e6500822b971
俏指美甲,ChIJ0a1Nui-3bjQRJP3FQQkzwK8,雲林縣,Huwei,,,https://lin.ee/m73Ux4N,,,4.8,c7260b21-5b0e-4f1f-944b-763d0859854b
西螺美甲/7皇后美甲美學 nail,ChIJ4ds3WQ21bjQR49_ekbFCu5Q,雲林縣,Xiluo,,,https://www.facebook.com/c0933306638/,,,4.8,839cc9ba-028c-4815-9cdc-3f8301afc379
米花二弄三巷美甲,ChIJ3-4qAyixbjQR2B3RT2QM_zk,雲林縣,Huwei,,,https://www.instagram.com/konichi_0806/,,,5,49f4bd5f-9f23-40ed-850a-8401e3575737
Chloe克蘿伊藝術美甲空間,ChIJ5UMUtBHJbjQRFZaGeMtxoEw,雲林縣,Douliu,,,https://maps.google.com/?cid=5521538261870614037,,,4.9,53dad3af-50f4-4cfe-8b7f-0a1d96461bd0
Annie美甲睫毛｜雲林美甲·虎尾美甲睫毛｜nails,ChIJ1TMnNwCxbjQRY4TFoiWrxRk,雲林縣,Huwei,,,https://maps.google.com/?cid=1857078599493190755,,,5,4c81d916-a5f5-4ba1-81ba-427c4cdf7293
