place_id,name,address,phone,rating,review_count,website,map_url,city,lat,lng,created_at,opening_hours_text,booking_url
ChIJ78aaHwWrQjQR4tzNJS-25ys,K&B Dreams LAB顏熹堂美甲美睫教育批發實體,"220, Taiwan, New Taipei City, Banqiao District, Section 2, Wenhua Rd, 313號4F",0981 107 868,4.9,473,https://kbdream.my.canva.site/k-b-beauty-lab,https://maps.google.com/?cid=3163697576865029346,台北市,25.0298288,121.4720399,2025-03-27 21:32:01.365892,"Monday: 8:00 AM – 11:30 PM
Tuesday: 8:00 AM – 11:30 PM
Wednesday: 8:00 AM – 11:30 PM
Thursday: 8:00 AM – 11:30 PM
Friday: 8:00 AM – 11:30 PM
Saturday: 8:00 AM – 11:30 PM
Sunday: 8:00 AM – 11:30 PM",
ChIJUX1vmacCaDQRxbvoRFqjJmM,AN藝術工坊｜新北板橋美甲美睫推薦｜江子翠美甲｜睫毛嫁接｜板橋接睫毛｜平價美甲｜附近美甲｜台北中山美甲｜霧眉霧唇｜手足保養專門,"220, Taiwan, New Taipei City, Banqiao District, Section 2, Wenhua Rd, 385之7號1樓",0903 026 449,4.9,1840,,https://maps.google.com/?cid=7144577466968357829,台北市,25.0313503,121.4731437,2025-03-31 19:47:42.963555,"Monday: 9:00 AM – 10:00 PM
Tuesday: 9:00 AM – 10:00 PM
Wednesday: 9:00 AM – 10:00 PM
Thursday: 9:00 AM – 10:00 PM
Friday: 9:00 AM – 10:00 PM
Saturday: 9:00 AM – 10:00 PM
Sunday: 9:00 AM – 10:00 PM",
ChIJ-RA79sSrQjQRuHA9W5nwhGI,El Amor Nail Salon,"No. 43號, Lane 161, Section 1, Dunhua S Rd, Da’an District, Taipei City, Taiwan 106",02 8773 6633,4.8,576,https://instagram.com/elamornails_taipei?igshid=YmMyMTA2M2Y=,https://maps.google.com/?cid=7099063454094160056,台北市,25.0436007,121.5512612,2025-03-31 19:47:44.16355,"Monday: 1:00 – 10:30 PM
Tuesday: 1:00 – 10:30 PM
Wednesday: 1:00 – 10:30 PM
Thursday: 1:00 – 10:30 PM
Friday: 1:00 – 10:30 PM
Saturday: 1:00 – 10:30 PM
Sunday: 1:00 – 10:30 PM",
ChIJncyR2y2pQjQRVelkNaTI-_g,AN｜中山8美學｜台北中山美甲美睫手足保養美學館,"號8F, No. 1-2, Nanjing W Rd, Zhongshan District, Taipei City, Taiwan 104",0965 746 359,4.9,2328,https://lin.ee/A47NLUi,https://maps.google.com/?cid=17941154148156500309,台北市,25.0525861,121.5217131,2025-03-31 19:47:44.802615,"Monday: 9:00 AM – 9:00 PM
Tuesday: 9:00 AM – 9:00 PM
Wednesday: 9:00 AM – 9:00 PM
Thursday: 9:00 AM – 9:00 PM
Friday: 9:00 AM – 9:00 PM
Saturday: 9:00 AM – 9:00 PM
Sunday: 9:00 AM – 9:00 PM",
ChIJ8fJ4va-rQjQRFhvmc_vT_Dw,Lash garden伊娃美睫美甲形象概念館,"No. 117, Section 5, Xinyi Rd, Xinyi District, Taipei City, Taiwan 110",02 8789 6682,5,743,https://lin.ee/dw9dheJ,https://maps.google.com/?cid=4394620413341473558,台北市,25.0333077,121.5738687,2025-03-31 19:47:45.564962,"Monday: 11:00 AM – 9:00 PM
Tuesday: 11:00 AM – 9:00 PM
Wednesday: 11:00 AM – 9:00 PM
Thursday: 11:00 AM – 9:00 PM
Friday: 11:00 AM – 9:00 PM
Saturday: 11:00 AM – 9:00 PM
Sunday: Closed",
ChIJfy_SPX6rQjQRb7JrOrszPF0,Color Region 大安信義店 - 凝膠指甲 / 手足保養 / 睫毛嫁接 / 凝膠美甲教學，預約制/不接受當天預約，預約請加 LINE: @color_region_a13 台北美甲 東區美甲 信義美甲 / 捷運國父紀念館站 / 大巨蛋旁,"106, Taiwan, Taipei City, Da’an District, Section 4, Zhongxiao E Rd, 299號四樓之一",0979 006 970,4.9,187,https://www.instagram.com/color_region/,https://maps.google.com/?cid=6718301623361974895,台北市,25.041614,121.55532,2025-03-31 19:47:46.191417,"Monday: 12:00 – 9:00 PM
Tuesday: 12:00 – 9:00 PM
Wednesday: 12:00 – 9:00 PM
Thursday: 12:00 – 9:00 PM
Friday: 12:00 – 9:00 PM
Saturday: 12:00 – 9:00 PM
Sunday: 12:00 – 9:00 PM",
ChIJ-QE9BsarQjQRwUQugU5lhF8,Painted Nail Salon 東區美甲沙龍,"106, Taiwan, Taipei City, Da’an District, Lane 138, Yanji St, 6號1樓B室",02 8773 9968,4.8,215,https://page.line.me/691xjyxi,https://maps.google.com/?cid=6882737518378108097,台北市,25.0399624,121.5543625,2025-03-31 19:47:46.920545,"Monday: 11:00 AM – 8:30 PM
Tuesday: 11:00 AM – 8:30 PM
Wednesday: 11:00 AM – 8:30 PM
Thursday: 11:00 AM – 8:30 PM
Friday: 11:00 AM – 8:30 PM
Saturday: 11:00 AM – 8:30 PM
Sunday: 12:00 – 9:30 PM",
ChIJeb4fkxOpQjQRYwwRyL4wCM4,參月MarchStudio 美甲美睫霧眉除毛 復興店,"106, Taiwan, Taipei City, Da’an District, Alley 2, Lane 251, Section 3, Zhongxiao E Rd, 15號一樓",0966 425 302,4.9,263,https://lin.ee/kpgpdkl,https://maps.google.com/?cid=14846169767585320035,台北市,25.0421275,121.5408326,2025-03-31 19:47:47.680656,"Monday: 10:00 AM – 10:00 PM
Tuesday: 10:00 AM – 10:00 PM
Wednesday: 10:00 AM – 10:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM",
ChIJvTT-K0GpQjQR4YUl2jdAOMo,Cloudia Nails 小雲時尚美甲/美睫/紋繡-創始店,"106, Taiwan, Taipei City, Da’an District, Lane 44, Taishun St, 29號2樓",0908 327 689,4.9,547,https://www.instagram.com/cloudia.nails/,https://maps.google.com/?cid=14571467202984510945,台北市,25.023977,121.529646,2025-03-31 19:47:48.326832,"Monday: 11:00 AM – 8:00 PM
Tuesday: 11:00 AM – 8:00 PM
Wednesday: 11:00 AM – 8:00 PM
Thursday: 11:00 AM – 8:00 PM
Friday: 11:00 AM – 8:00 PM
Saturday: 11:00 AM – 8:00 PM
Sunday: 11:00 AM – 8:00 PM",
ChIJL1rrBf2vQjQRVOaJRF0817w,Nail Pink 時尚美甲,"100, Taiwan, Taipei City, Zhongzheng District, Section 1, Hankou St, 8號1樓",0902 292 708,4.7,38,https://m.facebook.com/nailliuliu,https://maps.google.com/?cid=13607411170402756180,台北市,25.0450402,121.5146338,2025-03-31 19:47:48.971379,"Monday: 9:30 AM – 9:00 PM
Tuesday: 9:30 AM – 9:00 PM
Wednesday: 9:30 AM – 9:00 PM
Thursday: 9:30 AM – 9:00 PM
Friday: 9:30 AM – 9:00 PM
Saturday: 9:30 AM – 9:00 PM
Sunday: 9:30 AM – 9:00 PM",
